tissue,roc_auc,pr_auc,pos_count_test
hematopoietic cell line,0.8241402714932127,0.35559895969624555,17
lymphocytic leukemia cell,0.8238009049773755,0.35533779143308186,17
acute lymphoblastic leukemia cell,0.8234615384615385,0.3553480431543478,17
molt-4 cell,0.8230995475113121,0.35605933143808477,17
leukemia cell,0.8225113122171946,0.3551837529091808,17
lymph node,0.8157178921917223,0.3062590773192427,89
adipose tissue,0.8129074576931449,0.3327863199737894,141
erythroid cell,0.8127506989181962,0.34637401249193583,19
prefrontal cortex,0.8119368502117829,0.12829144997625122,20
small intestine,0.8107073984511312,0.25112361940102823,104
duodenum,0.8103133693339879,0.22323934315225624,97
retina,0.8098876444193195,0.1557032937699181,44
hypothalamus,0.809550736520682,0.2485053440534174,113
connective tissue,0.8058723655556785,0.3555732948653412,154
diencephalon,0.8040441538815335,0.2593429902136548,122
trachea,0.8008180994510472,0.0817953095701096,29
urinary bladder,0.8003213823615343,0.28140519290453725,95
ileocecum,0.7997029320202657,0.3110835075841702,118
cecum,0.7996113699717176,0.3103463902285153,118
vermiform appendix,0.7995198079231691,0.3099431255094217,118
mononuclear phagocyte,0.7993913909483236,0.19240255099844986,35
mononuclear cell,0.7990262255173176,0.1855351527548946,35
phagocyte,0.7988934380878611,0.19252781871605607,35
culture condition:antigen-presenting cell,0.7976412649040954,0.15918183884213138,45
monocyte,0.7973885138873521,0.19269537926341726,35
colon,0.7972956233170991,0.3259169143780346,123
muscle,0.7972887140714439,0.34952880052622437,104
other source,0.7968118195956455,0.15826149470485543,45
culture condition,0.7967513392085709,0.1598607960910567,45
cell culture,0.7961724555037152,0.15864075645891484,45
uterine cervix,0.7953813816088471,0.16268783396235856,41
limbic system,0.7950704225352113,0.23922915836603087,132
spleen,0.794566509725591,0.3490203381097841,172
